"messier_id","ngc_ic_num","common_name","img-src","object_type","distance_from_earth","constellation","apparent_mag","right_asc","declination"
"M1[17]","NGC 1952","Crab Nebula","//upload.wikimedia.org/wikipedia/commons/thumb/0/00/Crab_Nebula.jpg/75px-Crab_Nebula.jpg","Supernova remnant","4.9–8.1","Taurus",8.4,"05h 34m 31.94s","+22° 00′ 52.2″"
"M2[18]","NGC 7089","–","//upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Messier2_-_HST_-_Potw1913a.jpg/75px-Messier2_-_HST_-_Potw1913a.jpg","Globular cluster",33,"Aquarius",6.3,"21h 33m 27.02s","−00° 49′ 23.7″"
"M3[19]","NGC 5272","–","//upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Messier3_-_HST_-_Potw1914a.jpg/75px-Messier3_-_HST_-_Potw1914a.jpg","Globular cluster",33.9,"Canes Venatici",6.2,"13h 42m 11.62s","+28° 22′ 38.2″"
"M4[20]","NGC 6121","–","//upload.wikimedia.org/wikipedia/commons/thumb/9/90/Globular_star_cluster_Messier_4.jpg/75px-Globular_star_cluster_Messier_4.jpg","Globular cluster",7.2,"Scorpius",5.9,"16h 23m 35.22s","−26° 31′ 32.7″"
"M5[21]","NGC 5904","–","//upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Messier_5_-_HST.jpg/75px-Messier_5_-_HST.jpg","Globular cluster",24.5,"Serpens",6.7,"15h 18m 33.22s","+02° 04′ 51.7″"
"M6[22]","NGC 6405","Butterfly Cluster","//upload.wikimedia.org/wikipedia/commons/thumb/7/7f/M6a.jpg/75px-M6a.jpg","Open cluster",1.6,"Scorpius",4.2,"17h 40.1m","−32° 13′"
"M7[23]","NGC 6475","Ptolemy Cluster","//upload.wikimedia.org/wikipedia/commons/thumb/a/a5/The_star_cluster_Messier_7.jpg/75px-The_star_cluster_Messier_7.jpg","Open cluster","0.65–1.31","Scorpius",3.3,"17h 53m 51.2s","−34° 47′ 34″"
"M8[24]","NGC 6523","Lagoon Nebula","//upload.wikimedia.org/wikipedia/commons/thumb/7/76/LagoonHunterWilson.jpg/75px-LagoonHunterWilson.jpg","Nebula with cluster",4.1,"Sagittarius",6,"18h 03m 37s","−24° 23′ 12″"
"M9[25]","NGC 6333","–","//upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Globular_cluster_Messier_9_%28captured_by_the_Hubble_Space_Telescope%29.tif/lossy-page1-75px-Globular_cluster_Messier_9_%28captured_by_the_Hubble_Space_Telescope%29.tif.jpg","Globular cluster",25.8,"Ophiuchus",8.4,"17h 19m 11.78s","−18° 30′ 58.5″"
"M10[26]","NGC 6254","–","//upload.wikimedia.org/wikipedia/commons/thumb/6/67/Messier_10_Hubble_WikiSky.jpg/75px-Messier_10_Hubble_WikiSky.jpg","Globular cluster",14.3,"Ophiuchus",6.4,"16h 57m 8.92s","−04° 05′ 58.07″"
"M11[27]","NGC 6705","Wild Duck Cluster","//upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Eso1430a.jpg/75px-Eso1430a.jpg","Open cluster",6.2,"Scutum",6.3,"18h 51.1m","−06° 16′"
"M12[28]","NGC 6218","–","//upload.wikimedia.org/wikipedia/commons/thumb/5/50/M12_Hubble.jpg/75px-M12_Hubble.jpg","Globular cluster",15.7,"Ophiuchus",7.7,"16h 47m 14.18s","−01° 56′ 54.7″"
"M13[29]","NGC 6205","Great Globular Cluster in Hercules","//upload.wikimedia.org/wikipedia/commons/thumb/7/74/Messier_13_Hubble_WikiSky.jpg/75px-Messier_13_Hubble_WikiSky.jpg","Globular cluster",22.2,"Hercules",5.8,"16h 41m 41.24s","+36° 27′ 35.5″"
"M14[30]","NGC 6402","–","//upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Messier_object_014.jpg/75px-Messier_object_014.jpg","Globular cluster",30.3,"Ophiuchus",8.3,"17h 37m 36.15s","−03° 14′ 45.3″"
"M15[31]","NGC 7078","–","//upload.wikimedia.org/wikipedia/commons/thumb/6/65/Messier_15_Hubble_WikiSky.jpg/75px-Messier_15_Hubble_WikiSky.jpg","Globular cluster",33,"Pegasus",6.2,"21h 29m 58.33s","+12° 10′ 01.2″"
"M16[32]","NGC 6611","Eagle Nebula","//upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Eagle_Nebula_from_ESO.jpg/75px-Eagle_Nebula_from_ESO.jpg","H II region nebula with cluster",7,"Serpens",6,"18h 18m 48s","−13° 49′"
"M17[33]","NGC 6618","Omega, Swan, Horseshoe, or Lobster Nebula","//upload.wikimedia.org/wikipedia/commons/thumb/9/90/The_star_formation_region_Messier_17.jpg/75px-The_star_formation_region_Messier_17.jpg","H II region nebula with cluster","5–6","Sagittarius",6,"18h 20m 26s","−16° 10′ 36″"
"M18[34]","NGC 6613","–","//upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Messier18.jpg/75px-Messier18.jpg","Open cluster",4.9,"Sagittarius",7.5,"18h 19.9m","−17° 08′"
"M19[35]","NGC 6273","–","//upload.wikimedia.org/wikipedia/commons/thumb/4/46/Messier_19_Hubble_WikiSky.jpg/75px-Messier_19_Hubble_WikiSky.jpg","Globular cluster",28.7,"Ophiuchus",7.5,"17h 02m 37.69s","−26° 16′ 04.6″"
"M20[36]","NGC 6514","Trifid Nebula","//upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Trifid.nebula.arp.750pix.jpg/75px-Trifid.nebula.arp.750pix.jpg","H II region nebula with cluster",5.2,"Sagittarius",6.3,"18h 02m 23s","−23° 01′ 48″"
"M21[37]","NGC 6531","–","//upload.wikimedia.org/wikipedia/commons/thumb/2/28/Messier_object_021.jpg/75px-Messier_object_021.jpg","Open cluster",4.25,"Sagittarius",6.5,"18h 04.6m","−22° 30′"
"M22[38]","NGC 6656","Sagittarius Cluster","//upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Messier_22_Hubble_WikiSky.jpg/75px-Messier_22_Hubble_WikiSky.jpg","Globular cluster","9.6–11.6","Sagittarius",5.1,"18h 36m 23.94s","−23° 54′ 17.1″"
"M23[39]","NGC 6494","–","//upload.wikimedia.org/wikipedia/commons/thumb/6/63/Messier_object_023.jpg/75px-Messier_object_023.jpg","Open cluster",2.15,"Sagittarius",6.9,"17h 56.8m","−19° 01′"
"M24[40]","IC 4715","Small Sagittarius Star Cloud","//upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Messier_24_Colombari_crop_invert.jpg/75px-Messier_24_Colombari_crop_invert.jpg","Milky Way star cloud","~10","Sagittarius",2.5,"18h 17m","−18° 33′"
"M25[41]","IC 4725","–","//upload.wikimedia.org/wikipedia/commons/thumb/8/88/Messier_object_025.jpg/75px-Messier_object_025.jpg","Open cluster",2,"Sagittarius",4.6,"18h 31.6m","−19° 15′"
"M26[42]","NGC 6694","–","//upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Messier_26.jpg/75px-Messier_26.jpg","Open cluster",5,"Scutum",8,"18h 45.2m","−09° 24′"
"M27[43]","NGC 6853","Dumbbell Nebula","//upload.wikimedia.org/wikipedia/commons/thumb/e/e8/M27_-_Dumbbell_Nebula.jpg/75px-M27_-_Dumbbell_Nebula.jpg","Planetary nebula","1.148–1.52","Vulpecula",7.5,"19h 59m 36.340s","+22° 43′ 16.09″"
"M28[44]","NGC 6626","–","//upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Nebulous%2C_but_no_nebula_Messier_28.jpg/75px-Nebulous%2C_but_no_nebula_Messier_28.jpg","Globular cluster",17.9,"Sagittarius",7.7,"18h 24m 32.89s","−24° 52′ 11.4″"
"M29[45]","NGC 6913","Cooling Tower","//upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Messier_29.jpg/75px-Messier_29.jpg","Open cluster",7.2,"Cygnus",7.1,"20h 23m 56s","+38° 31′ 24″"
"M30[46]","NGC 7099","–","//upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Messier_30_Hubble_WikiSky.jpg/75px-Messier_30_Hubble_WikiSky.jpg","Globular cluster","27.8–31","Capricornus",7.7,"21h 40m 22.12","−23° 10′ 47.5″"
"M31[47]","NGC 224","Andromeda Galaxy","//upload.wikimedia.org/wikipedia/commons/thumb/9/98/Andromeda_Galaxy_%28with_h-alpha%29.jpg/75px-Andromeda_Galaxy_%28with_h-alpha%29.jpg","Spiral galaxy","2,430–2,650","Andromeda",3.4,"00h 42m 44.3s","+41° 16′ 9″"
"M32[48]","NGC 221","–","//upload.wikimedia.org/wikipedia/commons/thumb/8/83/M32_Lanoue.png/75px-M32_Lanoue.png","Dwarf elliptical galaxy","2,410–2,570","Andromeda",8.1,"00h 42m 41.8s","+40° 51′ 55″"
"M33[49]","NGC 598","Triangulum Galaxy","//upload.wikimedia.org/wikipedia/commons/thumb/6/64/VST_snaps_a_very_detailed_view_of_the_Triangulum_Galaxy.jpg/75px-VST_snaps_a_very_detailed_view_of_the_Triangulum_Galaxy.jpg","Spiral galaxy","2,380–3,070","Triangulum",5.7,"01h 33m 50.02s","+30° 39′ 36.7″"
"M34[50]","NGC 1039","–","//upload.wikimedia.org/wikipedia/commons/thumb/7/7e/M34_2mass_atlas.jpg/75px-M34_2mass_atlas.jpg","Open cluster",1.5,"Perseus",5.5,"02h 42.1m","+42° 46′"
"M35[51]","NGC 2168","–","//upload.wikimedia.org/wikipedia/commons/thumb/1/12/M35atlas.jpg/75px-M35atlas.jpg","Open cluster",2.8,"Gemini",5.3,"06h 09.1m","+24° 21′"
"M36[52]","NGC 1960","–","//upload.wikimedia.org/wikipedia/commons/thumb/3/3d/M36a.jpg/75px-M36a.jpg","Open cluster",4.1,"Auriga",6.3,"05h 36m 12s","+34° 08′ 4″"
"M37[53]","NGC 2099","–","//upload.wikimedia.org/wikipedia/commons/thumb/4/46/M37a.jpg/75px-M37a.jpg","Open cluster",4.511,"Auriga",6.2,"05h 52m 18s","+32° 33′ 02″"
"M38[54]","NGC 1912","Starfish Cluster","//upload.wikimedia.org/wikipedia/commons/thumb/0/09/M38_Open_Cluster.jpg/75px-M38_Open_Cluster.jpg","Open cluster",4.2,"Auriga",7.4,"05h 28m 42s","+35° 51′ 18″"
